"","x","y"
"1",404,NA
"2",4172,NA
"3",3004,NA
"4",787,NA
"5",37,NA
"6",2332,NA
"7",2489,NA
"8",1449,NA
"9",3665,NA
"10",3863,NA
"11",4374,NA
"12",875,NA
"13",172,NA
"14",1602,NA
"15",2012,NA
"16",979,NA
"17",2018,NA
"18",319,NA
"19",1944,NA
"20",4878,NA
"21",1450,NA
"22",3392,NA
"23",3677,NA
"24",980,NA
"25",4903,NA
"26",3708,NA
"27",258,NA
"28",2652,NA
"29",3480,NA
"30",3443,NA
"31",157,NA
"32",1128,NA
"33",1505,NA
"34",3183,NA
"35",2396,NA
"36",2161,NA
"37",3533,NA
"38",4743,NA
"39",902,NA
"40",1085,NA
"41",3401,NA
"42",2495,NA
"43",3209,NA
"44",3302,NA
"45",481,NA
"46",3829,NA
"47",3849,NA
"48",4954,NA
"49",4853,NA
"50",1946,NA
"51",2306,NA
"52",1577,NA
"53",874,NA
"54",2658,NA
"55",2469,NA
"56",3897,NA
"57",1021,NA
"58",3567,NA
"59",327,NA
"60",1772,NA
"61",4126,NA
"62",1370,NA
"63",2851,NA
"64",1679,NA
"65",2982,NA
"66",958,NA
"67",4739,NA
"68",2713,NA
"69",2724,NA
"70",1393,NA
"71",2234,NA
"72",1858,NA
"73",141,NA
"74",2330,NA
"75",1951,NA
"76",101,NA
"77",1885,NA
"78",2800,NA
"79",4286,NA
"80",1925,NA
"81",2640,NA
"82",3004,NA
"83",1307,NA
"84",1451,NA
"85",2401,NA
"86",4601,NA
"87",2004,NA
"88",1066,NA
"89",3359,NA
"90",294,NA
"91",4986,NA
"92",746,NA
"93",2593,NA
"94",4231,NA
"95",3592,NA
"96",1207,NA
"97",2736,NA
"98",4175,NA
"99",140,NA
"100",2347,NA
"101",4029,NA
"102",4071,NA
"103",2020,NA
"104",1093,NA
"105",2092,NA
"106",3345,NA
"107",2539,NA
"108",3302,NA
"109",2559,NA
"110",4178,NA
"111",3544,NA
"112",4372,NA
"113",58,NA
"114",4442,NA
"115",4982,NA
"116",2501,NA
"117",1795,NA
"118",3875,NA
"119",2923,NA
"120",3170,NA
"121",4294,NA
"122",2835,NA
"123",1265,NA
"124",4595,NA
"125",4337,NA
"126",1243,NA
"127",2015,NA
"128",3849,NA
"129",598,NA
"130",974,NA
"131",823,NA
"132",3317,NA
"133",4283,NA
"134",4633,NA
"135",2762,NA
"136",2886,NA
"137",3438,NA
"138",1224,NA
"139",224,NA
"140",4550,NA
"141",354,NA
"142",4985,NA
"143",3060,NA
"144",863,NA
"145",4548,NA
"146",188,NA
"147",2968,NA
"148",1185,NA
"149",4532,NA
"150",4095,NA
"151",3500,NA
"152",1101,NA
"153",3640,NA
"154",1086,NA
"155",2282,NA
"156",1664,NA
"157",2842,NA
"158",1262,NA
"159",2321,NA
"160",4589,NA
"161",4865,NA
"162",4096,NA
"163",4515,NA
"164",2907,NA
"165",3866,NA
"166",4976,NA
"167",3555,NA
"168",1075,NA
"169",1459,NA
"170",3609,NA
"171",4334,NA
"172",1193,NA
"173",23,NA
"174",4718,NA
"175",2191,NA
"176",3754,NA
"177",3340,NA
"178",2040,NA
"179",1757,NA
"180",3691,NA
"181",3322,NA
"182",427,NA
"183",4281,NA
"184",385,NA
"185",4265,NA
"186",532,NA
"187",2425,NA
"188",1237,NA
"189",3433,NA
"190",819,NA
"191",4765,NA
"192",1610,NA
"193",1808,NA
"194",4439,NA
"195",4141,NA
"196",504,NA
"197",4531,NA
"198",3864,NA
"199",1917,NA
"200",4999,NA
"201",1747,NA
"202",4737,NA
"203",1081,NA
"204",161,NA
"205",727,NA
"206",4272,NA
"207",1066,NA
"208",1052,NA
"209",198,NA
"210",4724,NA
"211",1225,NA
"212",3906,NA
"213",1442,NA
"214",4377,NA
"215",1479,NA
"216",4918,NA
"217",2950,NA
"218",3796,NA
"219",4181,NA
"220",3815,NA
"221",2087,NA
"222",691,NA
"223",405,NA
"224",3280,NA
"225",3011,NA
"226",3285,NA
"227",1647,NA
"228",4898,NA
"229",3576,NA
"230",4364,NA
"231",4917,NA
"232",1093,NA
"233",3323,NA
"234",1948,NA
"235",231,NA
"236",3085,NA
"237",2993,NA
"238",2035,NA
"239",4292,NA
"240",2589,NA
"241",4897,NA
"242",86,NA
"243",3368,NA
"244",1857,NA
"245",4591,NA
"246",3390,NA
"247",3326,NA
"248",3781,NA
"249",2715,NA
"250",1197,NA
"251",2545,NA
"252",2087,NA
"253",3635,NA
"254",3189,NA
"255",1983,NA
"256",4798,NA
"257",1494,NA
"258",252,NA
"259",2881,NA
"260",1090,NA
"261",630,NA
"262",4691,NA
"263",4007,NA
"264",3791,NA
"265",2663,NA
"266",2735,NA
"267",480,NA
"268",1942,NA
"269",862,NA
"270",3454,NA
"271",3377,NA
"272",4732,NA
"273",982,NA
"274",4844,NA
"275",1936,NA
"276",3252,NA
"277",4073,NA
"278",355,NA
"279",2635,NA
"280",3818,NA
"281",2177,NA
"282",2763,NA
"283",1021,NA
"284",156,NA
"285",4849,NA
"286",894,NA
"287",3892,NA
"288",4429,NA
"289",4183,NA
"290",3027,NA
"291",4535,NA
"292",180,NA
"293",658,NA
"294",471,NA
"295",3483,NA
"296",2029,NA
"297",329,NA
"298",633,NA
"299",4687,NA
"300",1082,NA
"301",3331,NA
"302",1020,NA
"303",2743,NA
"304",4138,NA
"305",638,NA
"306",1306,NA
"307",1443,NA
"308",74,NA
"309",4269,NA
"310",2071,NA
"311",3756,NA
"312",3596,NA
"313",2577,NA
"314",4875,NA
"315",1804,NA
"316",852,NA
"317",3916,NA
"318",155,NA
"319",3948,NA
"320",834,NA
"321",144,NA
"322",3930,NA
"323",4127,NA
"324",4827,NA
"325",1894,NA
"326",872,NA
"327",3019,NA
"328",4028,NA
"329",184,NA
"330",3665,NA
"331",1077,NA
"332",81,NA
"333",644,NA
"334",3431,NA
"335",3210,NA
"336",1637,NA
"337",1938,NA
"338",3538,NA
"339",3489,NA
"340",4629,NA
"341",2296,NA
"342",2980,NA
"343",826,NA
"344",2835,NA
"345",4491,NA
"346",2973,NA
"347",4159,NA
"348",2968,NA
"349",3895,NA
"350",1989,NA
"351",4250,NA
"352",3710,NA
"353",1589,NA
"354",559,NA
"355",506,NA
"356",4001,NA
"357",1900,NA
"358",264,NA
"359",4933,NA
"360",3021,NA
"361",744,NA
"362",2694,NA
"363",629,NA
"364",4816,NA
"365",235,NA
"366",808,NA
"367",4683,NA
"368",4854,NA
"369",3552,NA
"370",4426,NA
"371",4885,NA
"372",175,NA
"373",2194,NA
"374",3223,NA
"375",4975,NA
"376",1574,NA
"377",4280,NA
"378",2702,NA
"379",4368,NA
"380",2578,NA
"381",4348,NA
"382",4283,NA
"383",1729,NA
"384",1,NA
"385",1026,NA
"386",4727,NA
"387",1407,NA
"388",4405,NA
"389",4806,NA
"390",21,NA
"391",2765,NA
"392",1097,NA
"393",3234,NA
"394",3639,NA
"395",4363,NA
"396",1910,NA
"397",4464,NA
"398",4220,NA
"399",3649,NA
"400",193,NA
"401",1670,NA
"402",3747,NA
"403",4566,NA
"404",1022,NA
"405",2359,NA
"406",1926,NA
"407",1964,NA
"408",1092,NA
"409",37,NA
"410",1819,NA
"411",2631,NA
"412",4221,NA
"413",680,NA
"414",1883,NA
"415",1317,NA
"416",2490,NA
"417",98,NA
"418",436,NA
"419",4980,NA
"420",4711,NA
"421",622,NA
"422",576,NA
"423",1834,NA
"424",2356,NA
"425",3921,NA
"426",2452,NA
"427",510,NA
"428",4718,NA
"429",3531,NA
"430",2512,NA
"431",2650,NA
"432",1293,NA
"433",3559,NA
"434",4843,NA
"435",3306,NA
"436",3982,NA
"437",367,NA
"438",4424,NA
"439",4134,NA
"440",3629,NA
"441",1837,NA
"442",2618,NA
"443",2350,NA
"444",493,NA
"445",2581,NA
"446",2249,NA
"447",2748,NA
"448",3248,NA
"449",796,NA
"450",1469,NA
"451",4457,NA
"452",2941,NA
"453",3167,NA
"454",1298,NA
"455",1592,NA
"456",1697,NA
"457",3804,NA
"458",55,NA
"459",316,NA
"460",1320,NA
"461",2970,NA
"462",1488,NA
"463",474,NA
"464",3807,NA
"465",3863,NA
"466",2010,NA
"467",296,NA
"468",3752,NA
"469",2642,NA
"470",1380,NA
"471",1307,NA
"472",2720,NA
"473",996,NA
"474",3226,NA
"475",3752,NA
"476",1355,NA
"477",4379,NA
"478",4259,NA
"479",230,NA
"480",1906,NA
"481",917,NA
"482",4609,NA
"483",4531,NA
"484",965,NA
"485",4322,NA
"486",67,NA
"487",4429,NA
"488",1958,NA
"489",381,NA
"490",3234,NA
"491",4584,NA
"492",4173,NA
"493",2507,NA
"494",3011,NA
"495",2345,NA
"496",4432,NA
"497",3353,NA
"498",1969,NA
"499",2757,NA
"500",1213,NA
"501",1017,NA
"502",342,NA
"503",1537,NA
"504",4966,NA
"505",582,NA
"506",3578,NA
"507",1131,NA
"508",667,NA
"509",4637,NA
"510",4471,NA
"511",1019,NA
"512",1285,NA
"513",3071,NA
"514",2208,NA
"515",1578,NA
"516",507,NA
"517",1364,NA
"518",3269,NA
"519",4640,NA
"520",134,NA
"521",2798,NA
"522",4271,NA
"523",380,NA
"524",1030,NA
"525",2480,NA
"526",1310,NA
"527",2080,NA
"528",2196,NA
"529",912,NA
"530",392,NA
"531",89,NA
"532",3641,NA
"533",4855,NA
"534",2677,NA
"535",833,NA
"536",291,NA
"537",2296,NA
"538",3114,NA
"539",2975,NA
"540",3716,NA
"541",2622,NA
"542",2485,NA
"543",74,NA
"544",4790,NA
"545",2266,NA
"546",4908,NA
"547",2724,NA
"548",1801,NA
"549",2516,NA
"550",374,NA
"551",4849,NA
"552",3243,NA
"553",4923,NA
"554",2681,NA
"555",3806,NA
"556",2822,NA
"557",3893,NA
"558",3196,NA
"559",1895,NA
"560",1798,NA
"561",4222,NA
"562",2284,NA
"563",896,NA
"564",4832,NA
"565",3568,NA
"566",125,NA
"567",3133,NA
"568",4140,NA
"569",3216,NA
"570",3543,NA
"571",4354,NA
"572",1410,NA
"573",867,NA
"574",549,NA
"575",2932,NA
"576",4254,NA
"577",4608,NA
"578",3379,NA
"579",1753,NA
"580",44,NA
"581",2155,NA
"582",3625,NA
"583",2062,NA
"584",2755,NA
"585",782,NA
"586",216,NA
"587",3424,NA
"588",2573,NA
"589",4729,NA
"590",4216,NA
"591",325,NA
"592",3811,NA
"593",392,NA
"594",668,NA
"595",4049,NA
"596",2797,NA
"597",3669,NA
"598",1749,NA
"599",4914,NA
"600",2045,NA
"601",1805,NA
"602",3263,NA
"603",718,NA
"604",3404,NA
"605",4297,NA
"606",4194,NA
"607",4407,NA
"608",1189,NA
"609",2894,NA
"610",4490,NA
"611",1723,NA
"612",3805,NA
"613",3656,NA
"614",4263,NA
"615",4880,NA
"616",566,NA
"617",4852,NA
"618",3241,NA
"619",281,NA
"620",2366,NA
"621",1474,NA
"622",3052,NA
"623",606,NA
"624",3148,NA
"625",3560,NA
"626",3061,NA
"627",173,NA
"628",3330,NA
"629",3265,NA
"630",2260,NA
"631",2585,NA
"632",3384,NA
"633",4405,NA
"634",3657,NA
"635",1994,NA
"636",2153,NA
"637",728,NA
"638",2256,NA
"639",2894,NA
"640",353,NA
"641",3712,NA
"642",2747,NA
"643",3173,NA
"644",684,NA
"645",4652,NA
"646",3256,NA
"647",2644,NA
"648",1126,NA
"649",4917,NA
"650",546,NA
"651",350,NA
"652",3889,NA
"653",3292,NA
"654",1297,NA
"655",4592,NA
"656",744,NA
"657",3204,NA
"658",1007,NA
"659",3719,NA
"660",4239,NA
"661",4269,NA
"662",4018,NA
"663",120,NA
"664",3977,NA
"665",4433,NA
"666",3001,NA
"667",2164,NA
"668",4602,NA
"669",3081,NA
"670",2179,NA
"671",4487,NA
"672",3846,NA
"673",641,NA
"674",2694,NA
"675",646,NA
"676",2555,NA
"677",2719,NA
"678",1209,NA
"679",4016,NA
"680",4740,NA
"681",2037,NA
"682",2574,NA
"683",4908,NA
"684",1771,NA
"685",2280,NA
"686",1101,NA
"687",410,NA
"688",1847,NA
"689",634,NA
"690",3700,NA
"691",4780,NA
"692",3344,NA
"693",2341,NA
"694",2691,NA
"695",1655,NA
"696",3144,NA
"697",2263,NA
"698",4441,NA
"699",3922,NA
"700",691,NA
"701",1407,NA
"702",3535,NA
"703",2211,NA
"704",3389,NA
"705",3504,NA
"706",343,NA
"707",4793,NA
"708",1223,NA
"709",4632,NA
"710",2514,NA
"711",4678,NA
"712",2194,NA
"713",1753,NA
"714",2383,NA
"715",4831,NA
"716",1486,NA
"717",1454,NA
"718",4299,NA
"719",967,NA
"720",4046,NA
"721",1828,NA
"722",1264,NA
"723",4281,NA
"724",651,NA
"725",3960,NA
"726",1780,NA
"727",4822,NA
"728",594,NA
"729",2291,NA
"730",2619,NA
"731",4186,NA
"732",168,NA
"733",217,NA
"734",3961,NA
"735",1014,NA
"736",344,NA
"737",4323,NA
"738",386,NA
"739",2156,NA
"740",4869,NA
"741",2855,NA
"742",3773,NA
"743",1213,NA
"744",3136,NA
"745",843,NA
"746",2224,NA
"747",824,NA
"748",592,NA
"749",1838,NA
"750",4733,NA
"751",4378,NA
"752",1301,NA
"753",3287,NA
"754",610,NA
"755",1595,NA
"756",3116,NA
"757",2235,NA
"758",3542,NA
"759",4451,NA
"760",522,NA
"761",3153,NA
"762",4208,NA
"763",1822,NA
"764",3115,NA
"765",2304,NA
"766",818,NA
"767",2570,NA
"768",717,NA
"769",3252,NA
"770",777,NA
"771",2542,NA
"772",430,NA
"773",2516,NA
"774",193,NA
"775",4121,NA
"776",1430,NA
"777",1234,NA
"778",1990,NA
"779",3161,NA
"780",4743,NA
"781",1701,NA
"782",3137,NA
"783",4125,NA
"784",726,NA
"785",4836,NA
"786",431,NA
"787",1203,NA
"788",3195,NA
"789",2517,NA
"790",1253,NA
"791",4896,NA
"792",3283,NA
"793",450,NA
"794",3153,NA
"795",4384,NA
"796",4652,NA
"797",2098,NA
"798",2478,NA
"799",1764,NA
"800",1244,NA
"801",4794,NA
"802",1800,NA
"803",995,NA
"804",3632,NA
"805",841,NA
"806",1133,NA
"807",4228,NA
"808",1730,NA
"809",337,NA
"810",136,NA
"811",591,NA
"812",69,NA
"813",3679,NA
"814",4620,NA
"815",4911,NA
"816",2027,NA
"817",1349,NA
"818",2442,NA
"819",256,NA
"820",13,NA
"821",2480,NA
"822",1219,NA
"823",1279,NA
"824",2762,NA
"825",1258,NA
"826",3143,NA
"827",1581,NA
"828",4623,NA
"829",4533,NA
"830",460,NA
"831",3689,NA
"832",2849,NA
"833",3483,NA
"834",3504,NA
"835",200,NA
"836",2158,NA
"837",4072,NA
"838",2833,NA
"839",2942,NA
"840",4402,NA
"841",3597,NA
"842",4683,NA
"843",2148,NA
"844",1431,NA
"845",3854,NA
"846",3083,NA
"847",797,NA
"848",2008,NA
"849",9,NA
"850",2090,NA
"851",3820,NA
"852",3973,NA
"853",1213,NA
"854",3796,NA
"855",146,NA
"856",2187,NA
"857",2653,NA
"858",2150,NA
"859",4047,NA
"860",4613,NA
"861",3376,NA
"862",470,NA
"863",988,NA
"864",2378,NA
"865",3572,NA
"866",2691,NA
"867",4377,NA
"868",1468,NA
"869",1124,NA
"870",3455,NA
"871",1562,NA
"872",2417,NA
"873",609,NA
"874",3451,NA
"875",1579,NA
"876",4081,NA
"877",2730,NA
"878",4737,NA
"879",193,NA
"880",3239,NA
"881",399,NA
"882",2165,NA
"883",3805,NA
"884",1469,NA
"885",537,NA
"886",365,NA
"887",1782,NA
"888",2858,NA
"889",3390,NA
"890",3454,NA
"891",1868,NA
"892",490,NA
"893",496,NA
"894",3875,NA
"895",758,NA
"896",1974,NA
"897",4675,NA
"898",3698,NA
"899",3179,NA
"900",1692,NA
"901",4813,NA
"902",559,NA
"903",3253,NA
"904",4918,NA
"905",896,NA
"906",690,NA
"907",283,NA
"908",2732,NA
"909",2333,NA
"910",4482,NA
"911",93,NA
"912",4255,NA
"913",2508,NA
"914",831,NA
"915",1806,NA
"916",3261,NA
"917",4371,NA
"918",3642,NA
"919",2063,NA
"920",797,NA
"921",4229,NA
"922",4422,NA
"923",1980,NA
"924",191,NA
"925",4757,NA
"926",3919,NA
"927",1098,NA
"928",1655,NA
"929",889,NA
"930",1813,NA
"931",1958,NA
"932",4520,NA
"933",1383,NA
"934",697,NA
"935",2257,NA
"936",552,NA
"937",4405,NA
"938",2670,NA
"939",3697,NA
"940",3598,NA
"941",1323,NA
"942",3370,NA
"943",1049,NA
"944",3453,NA
"945",974,NA
"946",3911,NA
"947",76,NA
"948",4671,NA
"949",423,NA
"950",171,NA
"951",1555,NA
"952",3924,NA
"953",1403,NA
"954",827,NA
"955",2168,NA
"956",4071,NA
"957",3433,NA
"958",3887,NA
"959",457,NA
"960",3714,NA
"961",1984,NA
"962",1481,NA
"963",3715,NA
"964",2333,NA
"965",3866,NA
"966",111,NA
"967",4076,NA
"968",1520,NA
"969",4659,NA
"970",2703,NA
"971",1275,NA
"972",2388,NA
"973",3523,NA
"974",38,NA
"975",3863,NA
"976",1329,NA
"977",4856,NA
"978",953,NA
"979",99,NA
"980",3062,NA
"981",2629,NA
"982",3173,NA
"983",1978,NA
"984",875,NA
"985",1637,NA
"986",3074,NA
"987",396,NA
"988",2596,NA
"989",1532,NA
"990",3357,NA
"991",1969,NA
"992",3740,NA
"993",695,NA
"994",1887,NA
"995",3207,NA
"996",4971,NA
"997",1843,NA
"998",1687,NA
"999",4569,NA
